Sub_ID,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q71,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q21,Q22,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q27,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q30,Q31,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q33,Q34,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q36,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q39,Q40,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q45,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q48,Q49,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q51,Q52,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q54,Q55,Q56_1,Q56_2,Q56_3,Q56_4,Q56_5,Q56_6,Q57,Q58,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q59_6,Q60,Q61,Q62_1,Q62_2,Q62_3,Q62_4,Q62_5,Q62_6,Q63,Q64,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q66,Q67,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Q68_6,Q69,Q73,Q73,LocationLatitude,LocationLongitude,LocationAccuracy
1,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mTurkCode,Thank you for your willingness to help!    You are about to be introduced to 22 different volunte...,vol1_likely,vol1_mtr-This volunteering serves an important cause.,vol1_mtr-This volunteering will have a positive impact on the community.,vol1_mtr-This volunteering is a good investment of people's time.,vol1_mtr-I will be able to make a difference in someone's life.,vol1_mtr-I have something especially important to offer in this volunteer opportunity.,vol1_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol1_diff,vol2_likely,vol2_mtr-This volunteering serves an important cause.,vol2_mtr-This volunteering will have a positive impact on the community.,vol2_mtr-This volunteering is a good investment of people's time.,vol2_mtr-I will be able to make a difference in someone's life.,vol2_mtr-I have something especially important to offer in this volunteer opportunity.,vol2_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol2_diff,vol3_likely,vol3_mtr-This volunteering serves an important cause.,vol3_mtr-This volunteering will have a positive impact on the community.,vol3_mtr-This volunteering is a good investment of people's time.,vol3_mtr-I will be able to make a difference in someone's life.,vol3_mtr-I have something especially important to offer in this volunteer opportunity.,vol3_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol3_diff,vol4_likely,vol4_mtr-This volunteering serves an important cause.,vol4_mtr-This volunteering will have a positive impact on the community.,vol4_mtr-This volunteering is a good investment of people's time.,vol4_mtr-I will be able to make a difference in someone's life.,vol4_mtr-I have something especially important to offer in this volunteer opportunity.,vol4_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol4_diff,vol5_likely,vol5_mtr-This volunteering serves an important cause.,vol5_mtr-This volunteering will have a positive impact on the community.,vol5_mtr-This volunteering is a good investment of people's time.,vol5_mtr-I will be able to make a difference in someone's life.,vol5_mtr-I have something especially important to offer in this volunteer opportunity.,vol5_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol5_diff,vol6_likely,vol6_mtr-This volunteering serves an important cause.,vol6_mtr-This volunteering will have a positive impact on the community.,vol6_mtr-This volunteering is a good investment of people's time.,vol6_mtr-I will be able to make a difference in someone's life.,vol6_mtr-I have something especially important to offer in this volunteer opportunity.,vol6_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol6_diff,vol7_likely,vol7_mtr-This volunteering serves an important cause.,vol7_mtr-This volunteering will have a positive impact on the community.,vol7_mtr-This volunteering is a good investment of people's time.,vol7_mtr-I will be able to make a difference in someone's life.,vol7_mtr-I have something especially important to offer in this volunteer opportunity.,vol7_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol7_diff,vol8_likely,vol8_mtr-This volunteering serves an important cause.,vol8_mtr-This volunteering will have a positive impact on the community.,vol8_mtr-This volunteering is a good investment of people's time.,vol8_mtr-I will be able to make a difference in someone's life.,vol8_mtr-I have something especially important to offer in this volunteer opportunity.,vol8_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol8_diff,vol9_likely,vol9_mtr-This volunteering serves an important cause.,vol9_mtr-This volunteering will have a positive impact on the community.,vol9_mtr-This volunteering is a good investment of people's time.,vol9_mtr-I will be able to make a difference in someone's life.,vol9_mtr-I have something especially important to offer in this volunteer opportunity.,vol9_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol9_diff,vol10_likely,vol10_mtr-This volunteering serves an important cause.,vol10_mtr-This volunteering will have a positive impact on the community.,vol10_mtr-This volunteering is a good investment of people's time.,vol10_mtr-I will be able to make a difference in someone's life.,vol10_mtr-I have something especially important to offer in this volunteer opportunity.,vol10_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol10_diff,vol11_likely,vol11_mtr-This volunteering serves an important cause.,vol11_mtr-This volunteering will have a positive impact on the community.,vol11_mtr-This volunteering is a good investment of people's time.,vol11_mtr-I will be able to make a difference in someone's life.,vol11_mtr-I have something especially important to offer in this volunteer opportunity.,vol11_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol11_diff,vol12_likely,vol12_mtr-This volunteering serves an important cause.,vol12_mtr-This volunteering will have a positive impact on the community.,vol12_mtr-This volunteering is a good investment of people's time.,vol12_mtr-I will be able to make a difference in someone's life.,vol12_mtr-I have something especially important to offer in this volunteer opportunity.,vol12_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol12_diff,vol13_likely,vol13_mtr-This volunteering serves an important cause.,vol13_mtr-This volunteering will have a positive impact on the community.,vol13_mtr-This volunteering is a good investment of people's time.,vol13_mtr-I will be able to make a difference in someone's life.,vol13_mtr-I have something especially important to offer in this volunteer opportunity.,vol13_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol13_diff,vol14_likely,vol14_likely-This volunteering serves an important cause.,vol14_likely-This volunteering will have a positive impact on the community.,vol14_likely-This volunteering is a good investment of people's time.,vol14_likely-I will be able to make a difference in someone's life.,vol14_likely-I have something especially important to offer in this volunteer opportunity.,vol14_likely-I am confident that others will value my abilities in this volunteer opportunity.,vol14_diff,vol15_likely,vol15_mtr-This volunteering serves an important cause.,vol15_mtr-This volunteering will have a positive impact on the community.,vol15_mtr-This volunteering is a good investment of people's time.,vol15_mtr-I will be able to make a difference in someone's life.,vol15_mtr-I have something especially important to offer in this volunteer opportunity.,vol15_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol15_diff,vol16_likely,vol16_mtr-This volunteering serves an important cause.,vol16_mtr-This volunteering will have a positive impact on the community.,vol16_mtr-This volunteering is a good investment of people's time.,vol16_mtr-I will be able to make a difference in someone's life.,vol16_mtr-I have something especially important to offer in this volunteer opportunity.,vol16_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol16_diff,vol17_likely,vol17_mtr-This volunteering serves an important cause.,vol17_mtr-This volunteering will have a positive impact on the community.,vol17_mtr-This volunteering is a good investment of people's time.,vol17_mtr-I will be able to make a difference in someone's life.,vol17_mtr-I have something especially important to offer in this volunteer opportunity.,vol17_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol17_diff,vol18_likely,vol18_mtr-This volunteering serves an important cause.,vol18_mtr-This volunteering will have a positive impact on the community.,vol18_mtr-This volunteering is a good investment of people's time.,vol18_mtr-I will be able to make a difference in someone's life.,vol18_mtr-I have something especially important to offer in this volunteer opportunity.,vol18_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol18_diff,vol19_likely,vol19_mtr-This volunteering serves an important cause.,vol19_mtr-This volunteering will have a positive impact on the community.,vol19_mtr-This volunteering is a good investment of people's time.,vol19_mtr-I will be able to make a difference in someone's life.,vol19_mtr-I have something especially important to offer in this volunteer opportunity.,vol19_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol19_diff,vol20_likely,vol20_mtr-This volunteering serves an important cause.,vol20_mtr-This volunteering will have a positive impact on the community.,vol20_mtr-This volunteering is a good investment of people's time.,vol20_mtr-I will be able to make a difference in someone's life.,vol20_mtr-I have something especially important to offer in this volunteer opportunity.,vol20_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol20_diff,vol21_likely,vol21_mtr-This volunteering serves an important cause.,vol21_mtr-This volunteering will have a positive impact on the community.,vol21_mtr-This volunteering is a good investment of people's time.,vol21_mtr-I will be able to make a difference in someone's life.,vol21_mtr-I have something especially important to offer in this volunteer opportunity.,vol21_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol21_diff,vol22_likely,vol22_mtr-This volunteering serves an important cause.,vol22_mtr-This volunteering will have a positive impact on the community.,vol22_mtr-This volunteering is a good investment of people's time.,vol22_mtr-I will be able to make a difference in someone's life.,vol22_mtr-I have something especially important to offer in this volunteer opportunity.,vol22_mtr-I am confident that others will value my abilities in this volunteer opportunity.,vol22_diff,What is you age (in years),Thank you for taking part in this study. Your validation code for mTurk is ${e://Field/mTurkCode}...,LocationLatitude,LocationLongitude,LocationAccuracy
2,Default Response Set,Anonymous,,,,1,7/30/2016 10:12,7/30/2016 10:15,1,280217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,37.4178009,-122.1719971,-1
3,Default Response Set,Anonymous,,,163.172.38.173,0,7/30/2016 10:31,7/30/2016 10:36,1,632734,1,2,5,2,2,3,5,6,2,2,3,3,2,5,5,5,4,4,5,4,5,2,4,1,3,2,5,5,3,3,3,6,4,5,2,5,4,5,3,3,5,2,5,5,3,2,6,2,2,4,4,2,5,4,3,4,2,4,3,6,3,5,3,5,4,4,3,5,3,5,5,3,3,3,2,6,3,5,6,4,4,2,1,4,6,6,2,5,2,2,6,3,5,5,2,5,4,2,3,7,5,3,7,5,3,3,5,5,4,3,3,6,4,4,5,5,2,2,3,5,2,2,4,3,5,7,6,4,4,4,2,5,2,4,5,3,2,4,5,3,4,4,2,7,3,2,4,5,3,3,4,5,4,2,2,4,4,3,6,5,4,2,2,6,2,6,5,5,3,2,5,4,3,6,5,7,3,22,1,0,0,-1
4,Default Response Set,Anonymous,,,73.248.242.169,0,7/30/2016 10:31,7/30/2016 10:39,1,475803,1,3,5,5,5,5,5,5,3,3,5,5,4,4,5,4,4,4,6,6,6,5,5,5,3,4,5,5,5,5,4,5,4,3,5,5,5,4,4,5,3,4,5,5,5,5,5,5,3,4,6,5,5,6,6,6,1,5,6,6,6,6,6,7,2,3,5,4,5,5,5,5,4,4,6,6,5,6,5,5,3,3,5,6,5,5,6,5,2,4,6,6,5,6,6,5,3,3,5,5,5,5,5,4,3,4,6,6,5,6,6,6,2,4,6,6,6,6,5,6,2,4,6,5,5,6,5,6,3,5,6,6,6,5,5,5,3,4,6,6,5,6,6,5,3,4,6,6,6,6,5,5,3,4,5,5,5,6,5,6,3,3,4,5,5,4,5,4,3,5,6,6,6,6,6,6,2,32,1,39.61929321,-75.03179932,-1
5,Default Response Set,Anonymous,,,173.73.110.221,0,7/30/2016 10:29,7/30/2016 10:40,1,818457,1,3,2,4,5,3,5,2,2,4,4,2,5,3,5,5,3,3,4,5,4,3,1,5,3,4,5,5,5,6,5,4,4,3,1,2,3,3,4,4,1,3,4,2,5,5,6,5,3,4,5,3,5,5,3,5,3,3,5,4,5,4,5,5,3,3,4,2,2,4,3,5,4,3,5,5,5,4,2,2,4,2,6,2,7,3,1,5,4,1,3,4,2,1,1,5,3,4,4,4,4,2,2,4,2,2,1,1,1,1,5,1,3,4,6,5,7,6,5,3,4,4,6,6,6,6,6,6,4,4,4,5,4,5,4,3,3,1,5,5,6,3,1,2,2,2,4,5,5,3,5,5,3,3,5,2,5,1,1,4,3,2,3,2,1,5,2,2,2,1,7,5,7,5,2,4,4,21,1,38.83810425,-77.21209717,-1
6,Default Response Set,Anonymous,,,174.124.241.250,0,7/30/2016 10:29,7/30/2016 10:40,1,102161,1,2,3,3,5,2,3,3,1,1,5,3,5,3,2,3,1,2,5,5,6,5,3,5,4,2,6,6,6,5,5,5,4,1,5,5,5,3,3,3,2,2,5,5,3,2,2,2,2,4,7,6,6,6,3,5,2,1,1,1,1,1,1,1,1,4,6,6,7,6,2,2,4,4,7,7,7,7,7,6,4,2,7,6,7,6,3,3,5,1,6,6,7,6,1,4,4,1,3,5,5,2,1,2,4,2,7,6,6,5,2,3,4,4,7,7,7,7,5,6,4,4,7,7,6,6,6,7,4,1,5,5,5,3,1,3,2,2,3,3,3,3,3,3,2,5,7,7,7,7,6,5,4,5,7,7,7,7,7,7,2,2,6,6,6,5,2,3,4,2,5,5,5,3,2,2,4,21,1,43.1907959,-83.91670227,-1
7,Default Response Set,Anonymous,,,74.134.146.2,0,7/30/2016 10:35,7/30/2016 10:43,1,197632,1,4,5,5,3,3,5,3,2,5,6,5,4,5,6,5,2,4,5,7,6,6,5,5,4,4,5,6,5,4,5,4,3,3,5,5,4,5,5,3,4,4,5,6,5,6,5,5,3,5,5,5,5,5,4,6,4,4,3,3,4,3,5,5,2,4,7,6,5,5,4,6,4,5,6,5,6,6,6,5,2,4,5,4,6,5,6,6,5,4,4,3,5,3,3,5,4,5,6,6,7,6,6,6,2,5,7,7,7,7,7,7,1,4,6,6,6,5,5,6,4,4,6,6,5,6,6,5,4,4,5,3,3,3,5,6,2,4,5,5,6,5,6,6,4,4,4,3,4,4,6,3,4,4,5,3,5,3,3,5,4,4,5,3,5,3,5,3,4,4,6,6,5,6,5,5,4,22,1,38.01589966,-84.48470306,-1
8,Default Response Set,Anonymous,,,192.199.183.168,0,7/30/2016 10:33,7/30/2016 10:44,1,803412,1,4,4,4,5,4,4,5,3,4,4,4,4,4,4,5,4,3,5,5,5,5,5,5,4,1,7,7,6,7,6,6,5,2,5,3,5,4,4,4,5,3,4,4,5,4,4,4,4,3,5,5,5,5,6,5,3,3,5,6,5,5,5,5,1,2,7,6,6,7,6,6,5,1,6,5,5,6,5,5,4,3,5,5,5,5,5,5,5,1,5,4,5,5,5,4,4,3,5,4,5,4,4,5,4,3,5,5,5,5,5,5,4,3,7,5,6,7,7,6,4,3,6,6,5,6,5,5,4,4,4,4,5,4,3,5,2,4,6,4,5,4,5,4,2,3,6,6,6,6,6,6,4,2,5,4,4,4,4,5,3,3,6,6,6,6,6,5,4,2,6,5,5,6,5,5,5,70,1,42.02450562,-91.66200256,-1
